    -------<<  MADE IN LABORATORY EQUIPMENT CORPORATION  >>-------

                                                         Report,2020/03/06,14:32:14,MCA
MCA Data File,.asc
Comment,Labo:
Date,2019/12/11,15:52:55
Live Time,0,Real Time,0,Preset time,10000000,Dead Time,0,(%)
Spectrum Data,Start ch,0,End ch,1023
  chn  ,  data
 449,   51699
 450,   52337
 451,   51976
 452,   51720
 453,   51471
 454,   51569
 455,   51143
 456,   50695
 457,   51465
 458,   51062
 459,   50974
 460,   50580
 461,   50728
 462,   50455
 463,   50228
 464,   50387
 465,   50504
 466,   49638
 467,   49800
 468,   50012
 469,   49769
 470,   49434
 471,   49573
 472,   49449
 473,   49141
 474,   49074
 475,   49066
 476,   48786
 477,   48772
 478,   48834
 479,   48853
 480,   48406
 481,   48394
 482,   48307
 483,   48029
 484,   48276
 485,   48071
 486,   47475
 487,   47589
 488,   47341
 489,   47927
 490,   48102
 491,   48437
 492,   48452
 493,   48076
 494,   47538
 495,   47238
 496,   46536
 497,   46425
 498,   46275
 499,   47012
 500,   46366
 501,   46089
 502,   46301
 503,   46184
 504,   46141
 505,   46409
 506,   45823
 507,   46041
 508,   46146
 509,   45998
 510,   46122
 511,   45900
 512,   45792
 513,   45483
 514,   45540
 515,   45849
 516,   45301
 517,   45154
 518,   44993
 519,   45063
 520,   45217
 521,   44847
 522,   44757
 523,   45025
 524,   44800
 525,   44390
 526,   44460
 527,   44616
 528,   43679
 529,   44471
 530,   44109
 531,   44025
 532,   44115
 533,   43850
 534,   43584
 535,   44123
 536,   42991
 537,   43451
 538,   42992
 539,   43091
 540,   43187
 541,   42755
 542,   42741
 543,   42736
 544,   42835
 545,   42511
 546,   42378
 547,   42074
 548,   42207
 549,   41951
 550,   41939
 551,   42080
 552,   41999
 553,   41959
 554,   41506
 555,   41359
 556,   41270
 557,   41134
 558,   41039
 559,   40751
 560,   40682
 561,   40926
 562,   40853
 563,   40791
 564,   40290
 565,   40540
 566,   40499
 567,   40726
 568,   40128
 569,   40107
 570,   40008
 571,   39875
 572,   40032
 573,   40215
 574,   40102
 575,   40276
 576,   39796
 577,   39723
 578,   40022
 579,   42261
 580,   46055
 581,   51882
 582,   55196
 583,   52764
 584,   46660
 585,   41631
 586,   39453
 587,   39254
 588,   39157
 589,   39866
 590,   40081
 591,   40409
 592,   41267
 593,   40610
 594,   39129
 595,   38572
 596,   37656
 597,   37472
 598,   37343
 599,   37144
 600,   37308
 601,   37288
 602,   37064
 603,   36870
 604,   37316
 605,   36701
 606,   36633
 607,   36759
 608,   36198
 609,   36753
 610,   36341
 611,   36174
 612,   36154
 613,   36367
 614,   36136
 615,   36281
 616,   35929
 617,   35919
 618,   35577
 619,   35552
 620,   35678
 621,   35425
 622,   35546
 623,   35779
 624,   35872
 625,   35849
 626,   35748
 627,   35633
 628,   35446
 629,   35114
 630,   34795
 631,   34752
 632,   35017
 633,   34725
 634,   34561
 635,   34761
 636,   34247
 637,   34451
 638,   34020
 639,   34588
 640,   34100
 641,   34133
 642,   34027
 643,   34357
 644,   34347
 645,   34254
 646,   33694
 647,   33792
 648,   33560
 649,   33637
 650,   33193
 651,   33428
 652,   33568
 653,   33298
 654,   32893
 655,   33174
 656,   33270
 657,   33031
 658,   33015
 659,   33118
 660,   32999
 661,   32587
 662,   33148
 663,   33102
 664,   32676
 665,   32303
 666,   32428
 667,   32699
 668,   32572
 669,   32185
 670,   32270
 671,   32509
 672,   32282
 673,   32047
 674,   32026
 675,   32201
 676,   32274
 677,   32822
 678,   33033
 679,   33384
 680,   33027
 681,   32792
 682,   31903
 683,   31913
 684,   31725
 685,   31504
 686,   31527
 687,   31381
 688,   31654
 689,   31169
 690,   31539
 691,   31323
 692,   31194
 693,   31096
 694,   31157
 695,   31050
 696,   31060
 697,   30822
 698,   30650
 699,   31095
 700,   31168
 701,   31537
 702,   31506
 703,   31004
 704,   30622
 705,   30646
 706,   30653
 707,   30373
 708,   30110
 709,   30159
 710,   30353
 711,   30339
 712,   30288
 713,   30271
 714,   30282
 715,   30175
 716,   29695
 717,   30032
 718,   29986
 719,   30152
 720,   30026
 721,   29736
 722,   29938
 723,   29488
 724,   29595
 725,   29546
 726,   29631
 727,   29492
 728,   29570
 729,   29616
 730,   29669
 731,   29431
 732,   29248
 733,   29262
 734,   29313
 735,   29282
 736,   28992
 737,   29180
 738,   29100
 739,   29061
 740,   28969
 741,   29360
 742,   29144
 743,   28795
 744,   28643
 745,   28702
 746,   29008
 747,   28835
 748,   28846
 749,   28582
 750,   28726
 751,   28760
 752,   29060
 753,   29609
 754,   32031
 755,   34044
 756,   34820
 757,   33914
 758,   31440
 759,   29403
 760,   28528
 761,   28356
 762,   28314
 763,   28168
 764,   28144
 765,   28023
 766,   27882
 767,   28109
 768,   27949
 769,   28608
 770,   28848
 771,   28990
 772,   28963
 773,   28499
 774,   28231
 775,   27709
 776,   27656
 777,   27631
 778,   27535
 779,   27519
 780,   27774
 781,   27505
 782,   27563
 783,   27588
 784,   27698
 785,   27707
 786,   27472
 787,   27628
 788,   27487
 789,   27497
 790,   27540
 791,   27417
 792,   27054
 793,   27479
 794,   27068
 795,   27416
 796,   27431
 797,   26987
 798,   26838
 799,   27021
 800,   26833
 801,   27192
 802,   26627
 803,   27142
 804,   27223
 805,   26724
 806,   27030
 807,   26860
 808,   26744
 809,   26950
 810,   26772
 811,   27027
 812,   26614
 813,   26798
 814,   26912
 815,   26644
 816,   26922
 817,   26643
 818,   26521
 819,   26756
 820,   26861
 821,   26453
 822,   26479
 823,   26535
 824,   26420
 825,   26485
 826,   26381
 827,   26625
 828,   26231
