    -------<<  MADE IN LABORATORY EQUIPMENT CORPORATION  >>-------

                                                         Report,2020/03/06,14:31:36,MCA
MCA Data File,.asc
Comment,Labo:
Date,2019/12/11,15:52:55
Live Time,0,Real Time,0,Preset time,10000000,Dead Time,0,(%)
Spectrum Data,Start ch,0,End ch,1023
  chn  ,  data
 449,   49928
 450,   49400
 451,   49656
 452,   49588
 453,   49853
 454,   49527
 455,   49295
 456,   49447
 457,   49073
 458,   48804
 459,   49515
 460,   48961
 461,   48830
 462,   48247
 463,   48339
 464,   48128
 465,   48755
 466,   48255
 467,   48044
 468,   48006
 469,   47948
 470,   47635
 471,   47973
 472,   47657
 473,   47470
 474,   47664
 475,   47091
 476,   47027
 477,   47220
 478,   47241
 479,   46811
 480,   46624
 481,   46564
 482,   46004
 483,   46256
 484,   46294
 485,   46337
 486,   46701
 487,   47313
 488,   47916
 489,   47631
 490,   46870
 491,   45903
 492,   45276
 493,   45328
 494,   45293
 495,   45447
 496,   45388
 497,   45450
 498,   45517
 499,   45593
 500,   45149
 501,   45271
 502,   45369
 503,   45166
 504,   45286
 505,   45144
 506,   44858
 507,   44700
 508,   44802
 509,   44660
 510,   44647
 511,   44732
 512,   44659
 513,   44565
 514,   43949
 515,   43964
 516,   44118
 517,   43616
 518,   43705
 519,   43563
 520,   43367
 521,   43601
 522,   43333
 523,   43047
 524,   43509
 525,   42911
 526,   43022
 527,   43174
 528,   42448
 529,   42779
 530,   42411
 531,   42837
 532,   42329
 533,   42179
 534,   42013
 535,   42047
 536,   41824
 537,   41972
 538,   41722
 539,   41650
 540,   41067
 541,   41086
 542,   40998
 543,   41587
 544,   41408
 545,   41190
 546,   40574
 547,   40780
 548,   40613
 549,   40487
 550,   40665
 551,   40165
 552,   39966
 553,   40347
 554,   39976
 555,   40110
 556,   40236
 557,   39597
 558,   39648
 559,   39852
 560,   39608
 561,   39520
 562,   39623
 563,   39558
 564,   39295
 565,   39007
 566,   38725
 567,   39093
 568,   38669
 569,   39200
 570,   38800
 571,   38557
 572,   38448
 573,   38807
 574,   38894
 575,   40429
 576,   43256
 577,   49384
 578,   55635
 579,   56403
 580,   51611
 581,   44376
 582,   39287
 583,   38212
 584,   38025
 585,   38465
 586,   39106
 587,   39938
 588,   40197
 589,   40515
 590,   39158
 591,   37764
 592,   36755
 593,   35888
 594,   35591
 595,   35913
 596,   35554
 597,   35711
 598,   35283
 599,   35534
 600,   35248
 601,   35258
 602,   35506
 603,   35278
 604,   34957
 605,   34930
 606,   34504
 607,   34755
 608,   34945
 609,   34586
 610,   34574
 611,   34413
 612,   34373
 613,   34612
 614,   34233
 615,   34564
 616,   34305
 617,   34121
 618,   34525
 619,   34110
 620,   34365
 621,   34649
 622,   34283
 623,   34070
 624,   33958
 625,   33544
 626,   33457
 627,   33358
 628,   33191
 629,   33367
 630,   33388
 631,   33575
 632,   33152
 633,   33149
 634,   33235
 635,   33088
 636,   32796
 637,   32869
 638,   32648
 639,   33027
 640,   32832
 641,   33054
 642,   32704
 643,   32641
 644,   32196
 645,   32139
 646,   32342
 647,   32010
 648,   31948
 649,   32274
 650,   31434
